"ENTIDAD","FECHA","MUNICIPIO","CLAVE_ENTIDAD","CLAVE_MUNICIPIO","region","POBLACION","LATITUD","LONGITUD","Casos","Tasa_Casos_Positivos","Defunciones","Tasa_Defunciones","Negativos","Tasa_Casos_Negativos","Sospechosos","Tasa_Casos_Sospechosos"
"CIUDAD DE MEXICO",2020-04-22,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,25,3.29321321447907,2,0.263457057158326,26,3.42494174305824,9,1.18555675721247
"CIUDAD DE MEXICO",2020-04-23,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,26,3.42494174305824,3,0.395185585737489,35,4.6104985002707,12,1.58074234294995
"CIUDAD DE MEXICO",2020-04-24,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,23,3.02975615732075,1,0.131728528579163,24,3.16148468589991,16,2.10765645726661
"CIUDAD DE MEXICO",2020-04-25,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,36,4.74222702884986,5,0.658642642895815,30,3.95185585737489,10,1.31728528579163
"CIUDAD DE MEXICO",2020-04-26,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,37,4.87395555742903,4,0.526914114316652,32,4.21531291453321,6,0.790371171474977
"CIUDAD DE MEXICO",2020-04-27,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,40,5.26914114316652,3,0.395185585737489,32,4.21531291453321,13,1.71247087152912
"CIUDAD DE MEXICO",2020-04-28,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,31,4.08358438595405,4,0.526914114316652,28,3.68839880021656,10,1.31728528579163
"CIUDAD DE MEXICO",2020-04-29,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,23,3.02975615732075,10,1.31728528579163,27,3.5566702716374,7,0.92209970005414
"CIUDAD DE MEXICO",2020-04-30,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,33,4.34704144311238,7,0.92209970005414,38,5.00568408600819,7,0.92209970005414
"CIUDAD DE MEXICO",2020-05-01,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,55,7.24506907185396,7,0.92209970005414,44,5.79605525748317,6,0.790371171474977
"CIUDAD DE MEXICO",2020-05-02,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,25,3.29321321447907,5,0.658642642895815,34,4.47876997169154,17,2.23938498584577
"CIUDAD DE MEXICO",2020-05-03,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,42,5.53259820032484,7,0.92209970005414,28,3.68839880021656,10,1.31728528579163
"CIUDAD DE MEXICO",2020-05-04,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,36,4.74222702884986,2,0.263457057158326,34,4.47876997169154,8,1.0538282286333
