Estación,Inauguración,Alcaldía,Posición,Correspondencias,Inauguración como Correspondencia
Tacubaya,29 de agosto de 1988,Miguel Hidalgo,Túnel profundo,,29 de agosto de 1988
Pantitlán,12 de agosto de 1991,Iztacalco,Subterránea,,12 de agosto de 1991
Agrícola Oriental,12 de agosto de 1991,Iztacalco,Superficie,No tiene,No tiene
Canal de San Juan,12 de agosto de 1991,Iztacalco,Superficie,No tiene,No tiene
Tepalcates,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Guelatao,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Peñón Viejo,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Acatitla,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Santa Marta,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Los Reyes,12 de agosto de 1991,Los Reyes La Paz,Superficie,No tiene,No tiene
La Paz,12 de agosto de 1991,Los Reyes La Paz,Superficie,No tiene,No tiene
Buenavista,15 de diciembre de 1999,Cuauhtémoc,Subterránea,No tiene,No tiene
Guerrero,15 de diciembre de 1999,Cuauhtémoc,Subterránea,,15 de diciembre de 1999
Garibaldi-Lagunilla,15 de diciembre de 1999,Cuauhtémoc,Subterránea,,15 de diciembre de 1999
Lagunilla,15 de diciembre de 1999,Cuauhtémoc,Subterránea,No tiene,No tiene
Tepito,15 de diciembre de 1999,Cuauhtémoc,Subterránea,No tiene,No tiene
Morelos,15 de diciembre de 1999,Venustiano Carranza,Subterránea,,15 de diciembre de 1999
San Lázaro,15 de diciembre de 1999,Venustiano Carranza,Viaducto elevado,,15 de diciembre de 1999
Ricardo Flores Magón,15 de diciembre de 1999,Venustiano Carranza,Viaducto elevado,No tiene,No tiene
Romero Rubio,15 de diciembre de 1999,Venustiano Carranza,Viaducto elevado,No tiene,No tiene
Oceanía,15 de diciembre de 1999,Gustavo A. Madero,Viaducto elevado,,15 de diciembre de 1999
Deportivo Oceanía,15 de diciembre de 1999,Gustavo A. Madero,Superficie,No tiene,No tiene
Bosque de Aragón,15 de diciembre de 1999,Gustavo A. Madero,Superficie,No tiene,No tiene
Villa de Aragón,15 de diciembre de 1999,Gustavo A. Madero,Superficie,No tiene,No tiene
Nezahualcóyotl,30 de noviembre de 2000,Nezahualcóyotl,Superficie,No tiene,No tiene
Impulsora,30 de noviembre de 2000,Nezahualcóyotl,Superficie,No tiene,No tiene
Río de los Remedios,30 de noviembre de 2000,Nezahualcóyotl,Superficie,No tiene,No tiene
Múzquiz,30 de noviembre de 2000,Ecatepec de Morelos,Superficie,No tiene,No tiene
Ecatepec,30 de noviembre de 2000,Ecatepec de Morelos,Superficie,No tiene,No tiene
Olímpica,30 de noviembre de 2000,Ecatepec de Morelos,Superficie,No tiene,No tiene
Plaza Aragón,30 de noviembre de 2000,Ecatepec de Morelos,Superficie,No tiene,No tiene
Ciudad Azteca,30 de noviembre de 2000,Ecatepec de Morelos,Superficie,No tiene,No tiene
Tláhuac,30 de octubre de 2012,Tláhuac,Superficial,No tiene,No tiene
Tlaltenco,30 de octubre de 2012,Tláhuac,Superficial,No tiene,No tiene
Zapotitlán,30 de octubre de 2012,Tláhuac,Viaducto elevado,No tiene,No tiene
Nopalera,30 de octubre de 2012,Tláhuac,Viaducto elevado,No tiene,No tiene
Olivos,30 de octubre de 2012,Tláhuac,Viaducto elevado,No tiene,No tiene
Tezonco,30 de octubre de 2012,Iztapalapa,Viaducto elevado,No tiene,No tiene
Periférico Oriente,30 de octubre de 2012,Iztapalapa,Viaducto elevado,No tiene,No tiene
Calle 11,30 de octubre de 2012,Iztapalapa,Viaducto elevado,No tiene,No tiene
Lomas Estrella,30 de octubre de 2012,Iztapalapa,Viaducto elevado,No tiene,No tiene
San Andrés Tomatlán,30 de octubre de 2012,Iztapalapa,Viaducto elevado,No tiene,No tiene
Culhuacán,30 de octubre de 2012,Iztapalapa,Viaducto elevado,No tiene,No tiene
Atlalilco,30 de octubre de 2012,Iztapalapa,Subterránea,,30 de octubre de 2012
Mexicaltzingo,30 de octubre de 2012,Iztapalapa,Túnel profundo,No tiene,No tiene
Ermita,30 de octubre de 2012,Benito Juárez,Túnel profundo,,30 de octubre de 2012
Eje Central,30 de octubre de 2012,Benito Juárez,Túnel profundo,No tiene,No tiene
Parque de los Venados,30 de octubre de 2012,Benito Juárez,Túnel profundo,No tiene,No tiene
Zapata,30 de octubre de 2012,Benito Juárez,Túnel profundo,,30 de octubre de 2012
Hospital 20 de Noviembre,30 de octubre de 2012,Benito Juárez,Túnel profundo,No tiene,No tiene
Insurgentes Sur,30 de octubre de 2012,Benito Juárez,Túnel profundo,No tiene,No tiene
Mixcoac,30 de octubre de 2012,Benito Juárez,Túnel profundo,,30 de octubre de 2012
